category,subcategory,genericname,name,brand,price,mrp,imgURL,rating,country,sellerName,quantity,sellerUsername
Fashion,Men Shoes,Shoe,SOCKS Running Shoes For Men  (Grey),density,299,999,https://rukminim1.flixcart.com/image/714/857/kt8zb0w0/shoe/2/o/e/6-socks-04-grey-6-density-grey-original-imag6n4yzbnfzmgc.jpeg?q=50,4.1,India,Density,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,Trendy Men Sports Running Running Shoes For Men  (Black),BRUTON,209,"1,299",https://rukminim1.flixcart.com/image/714/857/kqse07k0/shoe/z/i/5/6-442-blk-gld-40-bruton-black-original-imag4q6ntfwkfzna.jpeg?q=50,3.7,India,SALEMARTINDIA,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,Exclusive Range of Stylish Casual Walking Comfortable Sports Shoes Running Shoes For Men Running Shoes For Men  (Black),Axter,168,699,https://rukminim1.flixcart.com/image/714/857/kmwcuq80/shoe/l/e/c/6-9273-6-axter-black-original-imagfpbed4gjye2z.jpeg?q=50,3.7,India,FOOTWEARONLINE,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,Running Shoes For Men  (Black),aadi,181,999,https://rukminim1.flixcart.com/image/714/857/kb9ou4w0/shoe/o/4/0/shoes-for-men-black-36-badlav-black-original-imafghd4tsktkq7y.jpeg?q=50,3.7,India,Dadwanis Footwear,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,New Design Lightweight Stylish and Tredy Sports Running Shoes For Men Running Shoes For Men  (Blue),BIRDE,223,999,https://rukminim1.flixcart.com/image/714/857/kyj0vbk0/shoe/w/q/z/8-brd-575-8-birde-navy-original-imagaqrn7xqanzhn.jpeg?q=50,3.7,India,Auvio,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,"Innova-01 White Sports,Walking,Training, Running Shoes For Men  (White)",ASIAN,899,"1,999",https://rukminim1.flixcart.com/image/714/857/kyxb9u80/shoe/5/v/8/8-innova-01cwht-8-asian-white-original-imagbfzmrmmvkqhv.jpeg?q=50,3.9,India,Asianshoe,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,"Cosko Sports Shoes,Running Shoes,Walking Shoes,Training Shoes, Running Shoes Running Shoes For Men  (Brown)",ASIAN,498,999,https://rukminim1.flixcart.com/image/714/857/jyvvgcw0/shoe/j/y/a/cscocmouse-6-asian-brown-original-imaf78gxmkzgxg7p.jpeg?q=50,4.1,India,Asianshoe,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,Exclusive Range of Stylish Comfortable Sports Sneakers Running Shoes Running Shoes For Men  (Grey),World Wear Footwear,179,998,https://rukminim1.flixcart.com/image/714/857/ktizdzk0/shoe/y/b/x/7-ws-9310-tying-grey-original-imag6ut3hzm2zyqm.jpeg?q=50,3.7,India,FOOTWEARONLINE,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,"Cosko sports shoes for men | Latest Stylish Casual sport shoes for men | running shoes for boys | Lace up Waterproof blue shoes for running, walking, gym, trekking, hiking & party Running Shoes For Men  (Navy)",ASIAN,498,999,https://rukminim1.flixcart.com/image/714/857/kddf6a80pkrrdj/shoe/8/m/a/6-cosco-asian-original-imaf78gxkpugy8jq.jpeg?q=50,4.1,India,Asianshoe,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,Running Shoes For Men  (Multicolor),TR,379,"1,999",https://rukminim1.flixcart.com/image/714/857/kkcwo7k0/shoe/z/6/n/9-86-9-tr-multicolor-original-imafzq3neugf4dfs.jpeg?q=50,4,India,SbRetailIndia,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,"Men 9325 Latest Collection Stylish Sports Sneakers Running Shoes Running Shoes For Men  (Red, Black)",World Wear Footwear,174,998,https://rukminim1.flixcart.com/image/714/857/kk5rgy80/shoe/t/h/l/8-9325-8-world-wear-footwear-red-original-imafzkgkzxhujghk.jpeg?q=50,3.7,India,FOOTWEARONLINE,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,"Asian Hattrick-21 sports shoes for men | Latest Stylish Casual sneakers for men | running shoes for boys | Lace up lightweight grey shoes for running, walking, gym, trekking, hiking & party Training & Gym Shoes For Men  (Grey, Green)",ASIAN,599,"1,249",https://rukminim1.flixcart.com/image/714/857/ks7tuvk0/shoe/9/t/9/10-hattrick-17clgrypgrn-asian-grey-original-imag5u463y5hfrbg.jpeg?q=50,4,India,MFCRETAIL,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,Running Shoes Running Shoes For Men  (Black),GS,181,999,https://rukminim1.flixcart.com/image/714/857/kb9ou4w0/shoe/o/4/0/shoes-for-men-black-36-badlav-black-original-imafghd4tsktkq7y.jpeg?q=50,3.8,India,Dadwanis Footwear,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,"Running Sports Shoes,Lace-Up,PVC For Men (1566) Running Shoes For Men  (Grey)",Earton,181,499,https://rukminim1.flixcart.com/image/714/857/k55n0y80/shoe/g/9/f/orifwsh-1566-6-oricum-grey-original-imafmu55gxcc8dkx.jpeg?q=50,3.6,India,BERSACHE,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,"Future-01 running shoes For Men  (Navy, White)",ASIAN,386,649,https://rukminim1.flixcart.com/image/714/857/k0plpjk0/shoe/r/m/q/future01cwhtnbl-b13cfullblk-9-asian-multicolor-original-imaeeb6svnsme4wr.jpeg?q=50,4.1,India,MFCRETAIL,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,JK Port Fashionable Sports Shoes Running Shoes For Men  (Black),JK PORT,399,999,https://rukminim1.flixcart.com/image/714/857/kpodocw0/shoe/y/v/2/6-jkpsb99blk-6-jk-port-black-original-imag3ux6qpzhpmzz.jpeg?q=50,3.8,India,JKPORTAGRA,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,Running Shoes For Men  (Black),Arivo,529,"1,999",https://rukminim1.flixcart.com/image/714/857/kr83ukw0/shoe/t/1/d/6-jump-08-arivo-black-original-imag52gzw7jwz7xy.jpeg?q=50,3.9,India,VR SHOE COMPANY,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,NORTH PLUS Running Shoes For Men  (Grey),CAMPUS,"1,344","1,699",https://rukminim1.flixcart.com/image/714/857/kialrww0-0/shoe/r/m/b/11g-677-7-campus-l-gry-red-original-imafy4djvw8gug5z.jpeg?q=50,4.1,India,Campusactivewear,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,"Cosko Sports Shoes,Running Shoes,Walking Shoes,Training Shoes, Running Shoes Running Shoes For Men  (Black, Grey)",ASIAN,498,999,https://rukminim1.flixcart.com/image/714/857/jyvvgcw0/shoe/m/e/d/coscocgryblk-8-asian-grey-original-imafe3bnabzpqxgh.jpeg?q=50,4.1,India,Asianshoe,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,FOG M Training & Gym Shoe For Men  (Blue),POWER,600,"1,699",https://rukminim1.flixcart.com/image/714/857/jnw2he80/shoe/w/g/s/8399067-9-power-blue-original-imafag59htxnn4bk.jpeg?q=50,4.1,India,RetailNet,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,"CUBIC_1 Running Shoes For Men  (Blue, Brown)",BRUTON,191,"1,299",https://rukminim1.flixcart.com/image/714/857/jqwny4w0/shoe/y/z/s/boot-blue-cubic-1-9-aurcus-blue-original-imaes2qfzjcwhvdc.jpeg?q=50,3.8,India,SALEMARTINDIA,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,BLACK SHARK Training & Gym Shoes For Men  (Black),Xylus,324,999,https://rukminim1.flixcart.com/image/714/857/k6l2vm80/shoe/e/f/x/black-shark-44-xylus-black-white-original-imafn43gg2ekq32j.jpeg?q=50,3.7,India,comfyfoot,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,SOCKS Training & Gym Shoes For Men  (Blue),density,299,"1,199",https://rukminim1.flixcart.com/image/714/857/kxqg2a80/shoe/c/u/s/10-socks-03-aqua-10-density-aqua-original-imaga4hgckazhvg7.jpeg?q=50,4,India,Density,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,"Men 9323 Latest Collection Stylish Sports Sneakers Running Shoes Running Shoes For Men  (Green, Black)",World Wear Footwear,174,998,https://rukminim1.flixcart.com/image/714/857/kk5rgy80/shoe/q/e/l/10-9323-10-world-wear-footwear-green-original-imafzkgrzuq2mfsz.jpeg?q=50,3.7,India,FOOTWEARONLINE,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,GEL CONTEND 4B+ Running Shoes For Men  (White),asics,"1,619","3,499",https://rukminim1.flixcart.com/image/714/857/kvr01ow0/shoe/s/b/z/6-1011b141-7-asics-white-white-original-imag8ksqd5zdkuk2.jpeg?q=50,4.2,India,UNIVERSALPRODUCTSGROUP,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,GEL CONTEND 4B+ Running Shoes For Men  (White),asics,"1,619","3,499",https://rukminim1.flixcart.com/image/714/857/kvr01ow0/shoe/s/b/z/6-1011b141-7-asics-white-white-original-imag8ksqd5zdkuk2.jpeg?q=50,4.2,India,UNIVERSALPRODUCTSGROUP,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,"Walking Shoes For Men  (Black, Yellow)",aadi,349,999,https://rukminim1.flixcart.com/image/714/857/kcm9t3k0/shoe/o/p/n/mrj1435-8-aadi-black-original-imaftphdzrttzceh.jpeg?q=50,4.1,India,OMTRADERSBYAADISHOES,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,"Plasma-08 sports shoes for men | Latest Stylish Casual sneakers for men |running shoes for boys | Lace up lightweight grey shoes for running, walking, gym, trekking, hiking & party Running Shoes For Men  (Grey)",ASIAN,499,"1,249",https://rukminim1.flixcart.com/image/714/857/kv450280/shoe/4/d/7/9-plasma-08clgrydgry-asian-grey-original-imag8368ykhzs4fv.jpeg?q=50,3.9,India,Asianshoe,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,Running Shoes For Men  (Black),HOTSTYLE,172,499,https://rukminim1.flixcart.com/image/714/857/kq6yefk0/shoe/p/s/r/10-fashion-star-black-165-beige-10-hotstyle-beige-black-original-imag4992vm7yfvfq.jpeg?q=50,3.8,India,HotstyleProducts,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,"Bersache Sports (Walking & Gym Shoes) Running, Loafers, Sneakers Shoes for Men ORIWFSH-1658 Running Shoes For Men  (Black)",BERSACHE,181,499,https://rukminim1.flixcart.com/image/714/857/kfoapow0-0/shoe/l/x/1/oriwfsh-1658-10-earton-black-original-imafw2wgtgztystq.jpeg?q=50,3.6,India,BERSACHE,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,"Stylish and Trendy New Design Lightweight, Breathable Walking Sport Shoe Running Shoes For Men  (Black)",BIRDE,181,499,https://rukminim1.flixcart.com/image/714/857/kfk0e4w0-0/shoe/6/m/m/brd-343-abisto-black-original-imafvzgynd8aybhj.jpeg?q=50,3.8,India,Auvio,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,Popcorn-02 grey Running Shoes for Men I Sport Shoes for Boys with Beads Technology Sole for Extra Jump I Memory Foam Insole Running Shoes For Men  (Grey),ASIAN,899,"1,999",https://rukminim1.flixcart.com/image/714/857/ksru0sw0/shoe/i/g/z/8-popcorn-02cgrey-8-asian-grey-original-imag69r2pdzqvuww.jpeg?q=50,4,India,Asianshoe,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,Running Shoes Running Shoes For Men  (Maroon),aadi,399,999,https://rukminim1.flixcart.com/image/714/857/kd4uj680/shoe/l/p/8/mrj1442-9-aadi-maroon-original-imafu455uchvekup.jpeg?q=50,4,India,Dadwanis Footwear,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,Running Shoes For Men  (Blue),aadi,299,999,https://rukminim1.flixcart.com/image/714/857/k5vcya80/shoe/z/b/5/mrj1366-41-aadi-blue-original-imafz9xmhgrqnfyj.jpeg?q=50,4,India,PrideShoes,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,"Sports Shoes,Running Shoes, Lace Up, Gym Shoes, Top Rated Canvas Upper Extra Light Weight Shoes For Men Running Shoes For Men  (Black)",Earton,181,499,https://rukminim1.flixcart.com/image/714/857/k6gsk280/shoe/s/q/h/combo-gr-1562-1564-6-bersache-multicolor-original-imafm3ahhu5jjwuz.jpeg?q=50,3.6,India,BERSACHE,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,"Bouncer-01 Running shoes for boys | sports shoes for men | Latest Stylish Casual sneakers for men | Lace up lightweight grey shoes for running, walking, gym, trekking, hiking & party Running Shoes Running Shoes For Men  (Grey)",ASIAN,399,999,https://rukminim1.flixcart.com/image/714/857/keekmfk0-0/shoe/b/p/k/bouncer-01cgryorng-6-asian-grey-original-imafv3h4hzjgvw2z.jpeg?q=50,4,India,Asianshoe,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,ROYCE-2 Running Shoes For Men  (Blue),CAMPUS,844,"1,049",https://rukminim1.flixcart.com/image/714/857/l1b1oy80/shoe/n/v/j/9-cg-248-9-campus-blu-sky-original-imagcwbvxbzw6zuc.jpeg?q=50,4.2,India,Campusactivewear,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,Running Shoes For Men  (Black),MILESWALKER,173,999,https://rukminim1.flixcart.com/image/714/857/k5msb680/shoe/a/y/z/dg-335-black-fashion-6-digitrendzz-black-original-imafnkzz2yrgkwcy.jpeg?q=50,3.7,India,MilesWalker,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,"Asian Plasma-08 sports shoes for men | Latest Stylish Casual sport shoes for men | running shoes for boys | Lace up Lightweight grey shoes for running, walking, gym, trekking, hiking & party Running Shoes For Men  (Black, Green)",ASIAN,499,"1,249",https://rukminim1.flixcart.com/image/714/857/ktop5e80/shoe/d/f/a/7-plasma-08cblkgrn-asian-black-original-imag6zyuz7sy75y8.jpeg?q=50,3.9,India,Asianshoe,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,"Plasma-08 sports shoes for men | Latest Stylish Casual sneakers for men |running shoes for boys | Lace up lightweight turquoise shoes for running, walking, gym, trekking, hiking & party Running Shoes For Men  (Black)",ASIAN,499,"1,249",https://rukminim1.flixcart.com/image/714/857/kv450280/shoe/l/b/j/8-plasam-08ctblugold-asian-turquoise-original-imag8368gyynddtw.jpeg?q=50,3.9,India,Asianshoe,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,"Asian Plasma-08 sports shoes for men | Latest Stylish Casual sport shoes for men | running shoes for boys | Lace up Lightweight navy shoes for running, walking, gym, trekking, hiking & party Running Shoes For Men  (Navy, Orange)",ASIAN,499,"1,249",https://rukminim1.flixcart.com/image/714/857/kv450280/shoe/p/q/w/6-plasma-08cnblorng-asian-navy-original-imag8368rgqgm4xg.jpeg?q=50,3.9,India,Asianshoe,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,"Bersache Sports Running, Loafers, Sneakers Shoes for Men ORIWFSH-1657 Running Shoes For Men  (Grey)",BERSACHE,180,499,https://rukminim1.flixcart.com/image/714/857/kfeamq80-0/shoe/i/z/i/combo-o-1660-1657-6-earton-multicolor-original-imafvv99kg24rxgy.jpeg?q=50,3.6,India,ORICUMFOOTWEAR,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,Tesla-44 Running Shoes For Men  (White),Kraasa,344,999,https://rukminim1.flixcart.com/image/714/857/ku5ufm80/shoe/u/z/u/9-sp7209-kraasa-white-original-imag7cnvbfhg64va.jpeg?q=50,3.9,India,Kraasa,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,Walking Shoes For Men  (Black),RED TAPE,"1,019","4,899",https://rukminim1.flixcart.com/image/714/857/kv8fbm80/shoe/a/n/7/11-rso136-red-tape-black-original-imag86g3gwjy2edu.jpeg?q=50,4.2,India,DIIATBonline,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,"Asian Hattrick-21 sports shoes for men | Latest Stylish Casual sneakers for men | running shoes for boys | Lace up lightweight grey shoes for running, walking, gym, trekking, hiking & party Training & Gym Shoes For Men  (Grey, Green)",ASIAN,598,"1,249",https://rukminim1.flixcart.com/image/714/857/ks7tuvk0/shoe/9/t/9/10-hattrick-17clgrypgrn-asian-grey-original-imag5u463y5hfrbg.jpeg?q=50,4,India,Asianshoe,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,"Oxygen-01 navy Running shoes dual capsule technology for boys | sports shoes for men | Latest Stylish Casual sneakers for men | Lace up lightweight shoes for running, walking, gym, trekking, hiking & party Running Shoes For Men  (Blue, Blue)",ASIAN,998,"1,999",https://rukminim1.flixcart.com/image/714/857/kv450280/shoe/9/5/k/7-oxygen-01cnblmstrd-asian-blue-original-imag83684md5zcxa.jpeg?q=50,4,India,Asianshoe,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,"Wndr-13 sports shoes for men | Latest Stylish Casual sport shoes for men | running shoes for boys | Lace up Lightweight firozi shoes for running, walking, gym, trekking, hiking & party Running Shoes For Men  (Red, Green)",ASIAN,398,699,https://rukminim1.flixcart.com/image/714/857/ju4em4w0/shoe/w/h/z/wndr-13cgrnred-10-asian-green-original-imaf8adfzf7trh4y.jpeg?q=50,4.1,India,Asianshoe,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,"Bouncer-01 for boys | sports shoes | Latest Stylish Casual sneakers | Lace up lightweight blue , walking, gym, trekking, hiking & party Running Shoes Running Shoes For Men  (Blue, Orange)",ASIAN,399,999,https://rukminim1.flixcart.com/image/714/857/ki96c280-0/shoe/m/y/p/bouncer-01cnavyorng-6-wilto-navy-original-imafy3ftqsks7dys.jpeg?q=50,4,India,Asianshoe,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,Running Shoes For Men  (Multicolor),TR,379,"1,999",https://rukminim1.flixcart.com/image/714/857/kkcwo7k0/shoe/z/6/n/9-86-9-tr-multicolor-original-imafzq3neugf4dfs.jpeg?q=50,4,India,SbRetailIndia,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,Running Shoes For Men Running Shoes For Men  (White),MILESWALKER,297,999,https://rukminim1.flixcart.com/image/714/857/kzzw5u80/shoe/f/y/x/6-mw-386-white-fashion-mileswalker-white-original-imagbvnskqqrjzka.jpeg?q=50,3.7,India,MilesWalker,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,"Century-12 Running shoes for boys | sports shoes for men | Latest Stylish Casual sport shoes for men | Lace up Lightweight navy for running, walking, gym, trekking, hiking & party Running Shoes For Men  (Navy, Blue)",ASIAN,448,999,https://rukminim1.flixcart.com/image/714/857/k0sgl8w0/shoe/z/h/s/century-12cnblsky-6-asian-navy-original-imafkgdfcgj2nzva.jpeg?q=50,4.1,India,Asianshoe,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,"Cosko Black Sports Shoes,Running Shoes,Walking Shoes,Training Shoes, Running Shoes Running Shoes For Men  (Black)",ASIAN,498,999,https://rukminim1.flixcart.com/image/714/857/jyvvgcw0/shoe/h/z/d/coscocblk-10-asian-blackgrey-original-imafdwcgbh9hhedh.jpeg?q=50,4.1,India,Asianshoe,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,"Socks Stylish Cricket , Walking Shoes , Light Weight Sports Shoes Running Shoes For Men  (Blue)",T-ROCK,278,999,https://rukminim1.flixcart.com/image/714/857/kj1r53k0-0/shoe/q/v/s/blue-socks-slip-7-shozie-blue-original-imafypc3vhzjmswf.jpeg?q=50,3.7,India,Gudu,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,Gym/Walking/Running Running Shoes For Men  (White),aadi,299,999,https://rukminim1.flixcart.com/image/714/857/k4x2du80/shoe/s/t/g/mrj1341-7-aadi-white-original-imafnq6yrxzg8pkn.jpeg?q=50,4.1,India,SUSON,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,Running Shoes For Men  (Grey),DUNKASTON,156,999,https://rukminim1.flixcart.com/image/714/857/k3ncakw0pkrrdj/shoe/g/x/m/6-1311-gry-t-rock-original-imafmugf2tytc3tx.jpeg?q=50,3.6,India,SbRetailIndia,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,"Innova-01 White Sports,Walking,Training, Running Shoes For Men  (White)",ASIAN,899,"1,999",https://rukminim1.flixcart.com/image/714/857/kyxb9u80/shoe/5/v/8/8-innova-01cwht-8-asian-white-original-imagbfzmrmmvkqhv.jpeg?q=50,3.9,India,Asianshoe,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,"Loafers, Running Shoes, Sports Shoes, Lightweight Lace up Shoes Training & Gym Shoes For Men  (Green)",K' Footlance,322,999,https://rukminim1.flixcart.com/image/714/857/kk5rgy80/shoe/w/n/y/10002-grn-44-k-footlance-green-original-imafzjtvfhygjxjq.jpeg?q=50,3.9,India,KFOOTLANCE,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,Sports Casual Running Shoes For Men  (White),Kraasa,344,999,https://rukminim1.flixcart.com/image/714/857/k5cs87k0/shoe/z/j/a/ca4451-6-kraasa-white-original-imafzfayujmgcaf8.jpeg?q=50,3.7,India,Kraasa,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,"Rafale-01 sports shoes for men | Latest Stylish Casual sneakers for men | running shoes for boys | Lace up lightweight white shoes for running, walking, gym, trekking, hiking & party Running Shoes For Men  (White)",ASIAN,499,"1,299",https://rukminim1.flixcart.com/image/714/857/kkfrjww0/shoe/2/m/n/9-rafale-01cwhite-9-asian-white-original-imafzskvxu4smer8.jpeg?q=50,3.9,India,Asianshoe,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,"Running Sports Shoes,Lace-Up,PVC For Men (1566) Running Shoes For Men  (Grey)",Earton,181,499,https://rukminim1.flixcart.com/image/714/857/k55n0y80/shoe/g/9/f/orifwsh-1566-6-oricum-grey-original-imafmu55gxcc8dkx.jpeg?q=50,3.6,India,BERSACHE,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,"Future-04 laceless sports shoes for men | Latest Stylish Casual sneakers for men without laces | running shoes for boys | Slip on blue shoes for running, walking, gym, trekking & party Running Shoes For Men  (Navy, Blue)",ASIAN,398,699,https://rukminim1.flixcart.com/image/714/857/jziqhzk0/shoe/d/9/3/f-04cblue-skypy31cgryblk-6-asian-multicolor-original-imaekkzgwtynyheg.jpeg?q=50,4.1,India,Asianshoe,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,"Walking Shoes For Men  (Navy, Grey)",ASIAN,398,699,https://rukminim1.flixcart.com/image/714/857/kj7gwi80hlty2aw-0/men-footwear/z/j/p/-original-imaejzhy75mbvmzs.jpeg?q=50,4.1,India,Asianshoe,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,Running Shoes For Men  (Navy),RED TAPE,977,"4,899",https://rukminim1.flixcart.com/image/714/857/kvgzyq80/shoe/m/s/f/7-rso133-red-tape-navy-original-imag8d6ggpyjxa8d.jpeg?q=50,4.3,India,DIIATBonline,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,Running Shoes For Men  (Black),HOTSTYLE,172,499,https://rukminim1.flixcart.com/image/714/857/kq6yefk0/shoe/p/s/r/10-fashion-star-black-165-beige-10-hotstyle-beige-black-original-imag4992vm7yfvfq.jpeg?q=50,3.8,India,HotstyleProducts,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,Sneakers For Men  (White),SCATCHITE,298,999,https://rukminim1.flixcart.com/image/714/857/kdhphu80/shoe/3/z/s/pf1-white-9-scatchite-white-original-imafudrkyqtt2y8z.jpeg?q=50,3.9,India,JTexEretail,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,"Training,Walking,Gym,Sports Running Shoes For Men  (Blue)",Kraasa,344,999,https://rukminim1.flixcart.com/image/714/857/kph8h3k0/shoe/k/i/j/9-sp7111-kraasa-blue-original-imag3p5xx9zwsh8f.jpeg?q=50,3.9,India,Kraasa,50,retailnet@gmail.com
Fashion,Men Shoes,Shoe,Oxygen Running Shoes For Men  (Navy),AIRDRON,344,999,https://rukminim1.flixcart.com/image/714/857/kjabs7k0-0/shoe/y/r/k/oxygen-10-airdron-navy-original-imafywyxqgyv9nhr.jpeg?q=50,4,India,BIOFLO,50,retailnet@gmail.com
